Level,Period,Duration_seconds,Duration_days,Duration_months,Duration_years
2,Ketu -> Mahadasha_duration_seconds,220903200.0,,,
2,Ketu -> Mahadasha_duration_days,,2556.75,,
2,Ketu -> Mahadasha_duration_months,,,83.99310118265439,
2,Ketu -> Mahadasha_duration_years,,,,7.0
4,Ketu -> Antardasha -> Ketu -> Duration_seconds,12886020.0,,,
4,Ketu -> Antardasha -> Ketu -> Duration_days,,149.14375,,
4,Ketu -> Antardasha -> Ketu -> Duration_months,,,4.899597568988173,
4,Ketu -> Antardasha -> Ketu -> Duration_years,,,,0.4083333333333333
4,Ketu -> Antardasha -> Venus -> Duration_seconds,36817200.0,,,
4,Ketu -> Antardasha -> Venus -> Duration_days,,426.125,,
4,Ketu -> Antardasha -> Venus -> Duration_months,,,13.998850197109064,
4,Ketu -> Antardasha -> Venus -> Duration_years,,,,1.1666666666666667
4,Ketu -> Antardasha -> Sun -> Duration_seconds,11045160.0,,,
4,Ketu -> Antardasha -> Sun -> Duration_days,,127.8375,,
4,Ketu -> Antardasha -> Sun -> Duration_months,,,4.199655059132719,
4,Ketu -> Antardasha -> Sun -> Duration_years,,,,0.35
4,Ketu -> Antardasha -> Moon -> Duration_seconds,18408600.0,,,
4,Ketu -> Antardasha -> Moon -> Duration_days,,213.0625,,
4,Ketu -> Antardasha -> Moon -> Duration_months,,,6.999425098554532,
4,Ketu -> Antardasha -> Moon -> Duration_years,,,,0.5833333333333334
4,Ketu -> Antardasha -> Mars -> Duration_seconds,12886020.0,,,
4,Ketu -> Antardasha -> Mars -> Duration_days,,149.14375,,
4,Ketu -> Antardasha -> Mars -> Duration_months,,,4.899597568988173,
4,Ketu -> Antardasha -> Mars -> Duration_years,,,,0.4083333333333333
4,Ketu -> Antardasha -> Rahu -> Duration_seconds,33135480.0,,,
4,Ketu -> Antardasha -> Rahu -> Duration_days,,383.5125,,
4,Ketu -> Antardasha -> Rahu -> Duration_months,,,12.598965177398158,
4,Ketu -> Antardasha -> Rahu -> Duration_years,,,,1.05
4,Ketu -> Antardasha -> Jupiter -> Duration_seconds,29453760.0,,,
4,Ketu -> Antardasha -> Jupiter -> Duration_days,,340.9,,
4,Ketu -> Antardasha -> Jupiter -> Duration_months,,,11.199080157687252,
4,Ketu -> Antardasha -> Jupiter -> Duration_years,,,,0.9333333333333333
4,Ketu -> Antardasha -> Saturn -> Duration_seconds,34976340.0,,,
4,Ketu -> Antardasha -> Saturn -> Duration_days,,404.81875,,
4,Ketu -> Antardasha -> Saturn -> Duration_months,,,13.298907687253612,
4,Ketu -> Antardasha -> Saturn -> Duration_years,,,,1.1083333333333334
4,Ketu -> Antardasha -> Mercury -> Duration_seconds,31294620.0,,,
4,Ketu -> Antardasha -> Mercury -> Duration_days,,362.20625,,
4,Ketu -> Antardasha -> Mercury -> Duration_months,,,11.899022667542704,
4,Ketu -> Antardasha -> Mercury -> Duration_years,,,,0.9916666666666667
2,Venus -> Mahadasha_duration_seconds,631152000.0,,,
2,Venus -> Mahadasha_duration_days,,7305.0,,
2,Venus -> Mahadasha_duration_months,,,239.98028909329824,
2,Venus -> Mahadasha_duration_years,,,,20.0
4,Venus -> Antardasha -> Ketu -> Duration_seconds,36817200.0,,,
4,Venus -> Antardasha -> Ketu -> Duration_days,,426.125,,
4,Venus -> Antardasha -> Ketu -> Duration_months,,,13.998850197109064,
4,Venus -> Antardasha -> Ketu -> Duration_years,,,,1.1666666666666667
4,Venus -> Antardasha -> Venus -> Duration_seconds,105192000.0,,,
4,Venus -> Antardasha -> Venus -> Duration_days,,1217.5,,
4,Venus -> Antardasha -> Venus -> Duration_months,,,39.996714848883045,
4,Venus -> Antardasha -> Venus -> Duration_years,,,,3.3333333333333335
4,Venus -> Antardasha -> Sun -> Duration_seconds,31557600.0,,,
4,Venus -> Antardasha -> Sun -> Duration_days,,365.25,,
4,Venus -> Antardasha -> Sun -> Duration_months,,,11.999014454664913,
4,Venus -> Antardasha -> Sun -> Duration_years,,,,1.0
4,Venus -> Antardasha -> Moon -> Duration_seconds,52596000.0,,,
4,Venus -> Antardasha -> Moon -> Duration_days,,608.75,,
4,Venus -> Antardasha -> Moon -> Duration_months,,,19.998357424441522,
4,Venus -> Antardasha -> Moon -> Duration_years,,,,1.6666666666666667
4,Venus -> Antardasha -> Mars -> Duration_seconds,36817200.0,,,
4,Venus -> Antardasha -> Mars -> Duration_days,,426.125,,
4,Venus -> Antardasha -> Mars -> Duration_months,,,13.998850197109064,
4,Venus -> Antardasha -> Mars -> Duration_years,,,,1.1666666666666667
4,Venus -> Antardasha -> Rahu -> Duration_seconds,94672800.0,,,
4,Venus -> Antardasha -> Rahu -> Duration_days,,1095.75,,
4,Venus -> Antardasha -> Rahu -> Duration_months,,,35.997043363994734,
4,Venus -> Antardasha -> Rahu -> Duration_years,,,,3.0
4,Venus -> Antardasha -> Jupiter -> Duration_seconds,84153600.0,,,
4,Venus -> Antardasha -> Jupiter -> Duration_days,,974.0,,
4,Venus -> Antardasha -> Jupiter -> Duration_months,,,31.997371879106435,
4,Venus -> Antardasha -> Jupiter -> Duration_years,,,,2.6666666666666665
4,Venus -> Antardasha -> Saturn -> Duration_seconds,99932400.0,,,
4,Venus -> Antardasha -> Saturn -> Duration_days,,1156.625,,
4,Venus -> Antardasha -> Saturn -> Duration_months,,,37.99687910643889,
4,Venus -> Antardasha -> Saturn -> Duration_years,,,,3.1666666666666665
4,Venus -> Antardasha -> Mercury -> Duration_seconds,89413200.0,,,
4,Venus -> Antardasha -> Mercury -> Duration_days,,1034.875,,
4,Venus -> Antardasha -> Mercury -> Duration_months,,,33.99720762155059,
4,Venus -> Antardasha -> Mercury -> Duration_years,,,,2.8333333333333335
2,Sun -> Mahadasha_duration_seconds,189345600.0,,,
2,Sun -> Mahadasha_duration_days,,2191.5,,
2,Sun -> Mahadasha_duration_months,,,71.99408672798947,
2,Sun -> Mahadasha_duration_years,,,,6.0
4,Sun -> Antardasha -> Ketu -> Duration_seconds,11045160.0,,,
4,Sun -> Antardasha -> Ketu -> Duration_days,,127.8375,,
4,Sun -> Antardasha -> Ketu -> Duration_months,,,4.199655059132719,
4,Sun -> Antardasha -> Ketu -> Duration_years,,,,0.35
4,Sun -> Antardasha -> Venus -> Duration_seconds,31557600.0,,,
4,Sun -> Antardasha -> Venus -> Duration_days,,365.25,,
4,Sun -> Antardasha -> Venus -> Duration_months,,,11.999014454664913,
4,Sun -> Antardasha -> Venus -> Duration_years,,,,1.0
4,Sun -> Antardasha -> Sun -> Duration_seconds,9467280.0,,,
4,Sun -> Antardasha -> Sun -> Duration_days,,109.575,,
4,Sun -> Antardasha -> Sun -> Duration_months,,,3.5997043363994736,
4,Sun -> Antardasha -> Sun -> Duration_years,,,,0.3
4,Sun -> Antardasha -> Moon -> Duration_seconds,15778800.0,,,
4,Sun -> Antardasha -> Moon -> Duration_days,,182.625,,
4,Sun -> Antardasha -> Moon -> Duration_months,,,5.999507227332456,
4,Sun -> Antardasha -> Moon -> Duration_years,,,,0.5
4,Sun -> Antardasha -> Mars -> Duration_seconds,11045160.0,,,
4,Sun -> Antardasha -> Mars -> Duration_days,,127.8375,,
4,Sun -> Antardasha -> Mars -> Duration_months,,,4.199655059132719,
4,Sun -> Antardasha -> Mars -> Duration_years,,,,0.35
4,Sun -> Antardasha -> Rahu -> Duration_seconds,28401840.0,,,
4,Sun -> Antardasha -> Rahu -> Duration_days,,328.725,,
4,Sun -> Antardasha -> Rahu -> Duration_months,,,10.799113009198422,
