Planet,Sign,Sign Lord,Nakshatra,Naksh Lord,Degree,Retro(R),Combust,Avastha,House,Status
Ascendant,Libra,Venus,Chitra,Mars,2.351098311946146,Direct,--,--,1,--
Sun,Leo,Sun,Purva Phalguni,Venus,140.9776725366005,Direct,No,Yuva,11,--
Moon,Gemini,Mercury,Ardra,Rahu,77.18614934565879,Direct,No,Yuva,9,--
Mercury,Virgo,Mercury,Uttara Phalguni,Sun,159.2431134045866,Retro,No,Yuva,12,--
Venus,Cancer,Moon,Pushya,Saturn,96.11657745214018,Direct,No,Yuva,10,--
Mars,Cancer,Moon,Pushya,Saturn,94.49736502616483,Direct,No,Yuva,10,--
Jupiter,Sagittarius,Jupiter,Purva Ashadha,Venus,254.0280668661588,Direct,No,Yuva,3,--
Saturn,Pisces,Jupiter,Uttara Bhadrapada,Saturn,341.6358347413906,Retro,No,Yuva,6,--
Uranus,Capricorn,Saturn,Uttara Ashadha,Sun,277.2620653823728,Retro,No,Yuva,4,--
Neptune,Capricorn,Saturn,Uttara Ashadha,Sun,271.3954932967773,Retro,No,Yuva,4,--
Pluto,Scorpio,Mars,Anuradha,Saturn,216.7350506405519,Direct,No,Yuva,2,--
Rahu,Virgo,Mercury,Hasta,Moon,165.3795199592809,Retro,No,Yuva,12,--
Ketu,Pisces,Jupiter,Uttara Bhadrapada,Saturn,345.379519959281,Retro,No,Yuva,6,--
